,word,definition
733,nexwa,big pepper pl a special sort see also ikpovuxo and akpↄkↄ εhi εdo Lit pepper of Benin the so called alligator pepper fhi zbo pepper of for est a tree Lonchocarpus grif fonianus only used for build ing oxogbo l pepper soup εhiε savε y ↄῦ aɽo pepper soup has splashed into my eye
734,ehihi,a very small black ant found in the house
735,gho,m throat voice ho gre la gbe his voice sounds much i e carries far said of a falsetto voice
736,ghohawε,cold scales of iron beaten off by the smith enwa nanwan erhε sparks
737,ehoho,wind εhoh ε ziza whirlwind
738,ehii,hollow spaces in trees caused by insects that are still covered with bark fhui ogo ogo old farm a tree rema guineense mostly found on old farms it has wvery soft wood which is perhaps the reason of its being called εhiil and is not used for any purpose
739,eka,a position in the ogwεga divination cf Yor ika
740,gka,bright red or yellow beads called agate beads round or cornered
741,gkete,throne of the dba
742,eke,cunning deception by hiding one s faults an old word equivalent to eɽo occurs in an dxwahε song c o c c kεdhua name of a Bini village eki market fki ↄba the dba s market the central market in Benin City ki ad l Adobl smarket r miles from Benin City on the If Road εki enyaε the market of Enyaε miles from Benin City on the Eh Road v dq
743,gkire,frog ki ugbo lit farm mar ket name of a Bini village where dxwahε is believed to have transformed himself into the river bearing the same name
744,eko,Dbelly εko v ove am satisfied v to be full av fko I am satisfied va to fill ko Te it grieves me fko xia ε ko loɣↄ ε my stomach pains me fko hihiε ε I have diarrhoea εko rhiεrhiε ve I am pleased εko riaɽa e am displeased negative of the preceding is more used εko bals Bε it grieves me ε ko luzu ε I have indiges tion ko n ami r eῦi belly where one sees its thing viz discharge dysentery is not nasalised εko asa belly of shield a spot where all dangers concentrate so that escape is impossible okuo ɣize baba ifa ke ile fi εko asa when the war had been raging hard for some time they then ran into a place from which there was no escape
745,ekokodu,heart idiom for
746,okadi,a spirit roaming about in the bush which causes bad luck and lack of will power Everybody has a personal kose The εkose is given sacrifices con sisting of a small basket agba full of small anthills ulelefe D a man s worst enemy e in a fkos ε uxi ɽa D oh are you his enemy
747,gkↄ,Yoruba word for Bini
748,akasa,x waist εkil oxuo women s bigcloth base of a tree kuε x the town of Akure in Ondo province the Akure people a general name for the Yoruba people Yoruba is also used
749,ekwe,palm branches woven together to serve as ridge okpo of the roof
750,gkpede,cross bow gkp huge big e g In kp εho a loud bass voice εkp iku layers of dry leaves
751,gkper,amusical instrument apparently a horn producing high sounds sεkpeɽ ↄmwε a blue black bird the size of a pigeon N W TIh glossy starling
752,ekpε,Ileopard εkpε n owa leopard of the house is a title used by chiefs in ad dressing the dba
753,gkpiro,a tree Chrysophylum africanum its fruit is edible and a kind of otiε
754,gkpo,q space Tkpo na vE sε this space is wide enough ekp iyeke middle space between shoulder blades εkp
755,ↄxe,half space between two main poles utdyotd of
756,eru,at that time
757,gkpo,bag kp urhu air pipe dkp ahir bladder gkp ekia region of pubic hair male kp ofi a bag of yaws a sufferer from yaws jvaws daddy kp uhe region of pubic hair female
758,gkpohutu,headache f
759,kpe,leather box cf kpo
760,gkponiyεkea,a woman with child
761,ekpowa,gecko
762,gkpoxurhu,gkpo
763,gkpogɣↄe,a tree Beriima heudeloliana the bark is used as a medicine but if not well pre pared it is a deadly poison lt was also used in the dba s ordeal mixed with sasswood inyi The name also corresponds to Berlinia auriculatm on the F D list kpoↄ ↄ ε r Macro lobium limba el dε also e house pig not known in ancient times also esi ebo FEuropean pig cf Yor εledε stomach cf
764,elu,interjection used to en courage boers
765,elu,x a tree the leaves and root of which contain a dark blue dye the dye it is used by boys to imitate the tribal body marks the dye obtained from the burnt roots is used to dye the real tribal marks
766,glubb,flour ma name of a Bini village
767,emila,cow εmil ogiso a green caterpillar εmil ↄvia practice of twirling the bull roarer at the yvia society in order to warn passers by that secret things ar going on the bull roaring was believed to be the voice of the god himself
768,gmunↄamuerha,catcher who catches trees a creeper Begonwia mamniy found on trees
769,gnwe,wound
770,enwinwa,ɽ dog tick same as ekaikai a disease a tree Larmea acidissima gnya albino ↄwaɽu rhurhurhu v εnyaε he is staggering ike an albino who cannot see well during the day
771,enyaε,neck used of men and animals in the case of things
772,urhu,is used
773,enyε,snake εnyε n εs river snake a snake said to be living in muddy places at the bottom of rivers it never bites v aka arhuvots aɽεkε asisha ataikpi
774,idodia,no
775,gpipa,keg barrel εpip exae a keg of powder cf Port pipa
776,grze,x somebody else unknown to the speaker ɣerhie ε ↄX WDε ↄ X εrse nd N ve don t take it for it is not my own it ls somebody else s ↄ εrεe always means somebody unknown while ↄɣ ↄῦa vehe does not imply un known er ↄXu ↄna did somebody do me this when something bad has happened in one s absence This example leads on to the meaning of some un known enemy implyimng any forces that work towards one s undoing such as e Q the evwil wishes of other people bad advice opposition etc The εrεFe is glven a sacrifice upon the advice of doctors the act of win is called mu ze al l and the prayer is εrεe ῦe t n iyaɽu ε my eree look we at the things I am doing sacrificing to you The prayer averts the above mentioned influences The term occurs also in a thanksgiving formula used by a junior woman to her seniors when having taken part of a meal εre e vigb uε the bad wishes of other people may not kill you
777,kada,lit equals and enemies of each other are we and he he and I are equals and enemies εrε e BI uXi you are my enemy i e you have tried to undo me The term is also applifd to witches hence rhb mu
778,ze,n εfe means to give food to witches v kose J riε fba s harem at guae
779,grha,bush cat a little bigger thanedi smellsdisagreeably
780,erhaε,blood v esagiε
781,grherhe,brain not regarded as seat of understanding
782,erhe,groin abdomen below navel
783,gerhia,wickedness erhia He ima his wickedness is not good i e is too bad ↄka εrhia pl e the first in wickedness of a man the evil spirit the bad example ↄna ɽ ↄka gεrhia n ↄr gbεe ni N this is the evwil genius of that family e f rhia erhi perseverance ↄv rhi a man of perseverance
784,erhoxwa,a position in the o
785,gwrga,hermaphrodite
786,erhu,hat cap srhu ivie bead hat with beads hang ing down at both sides of the face worn in different styles by the ba Ezmo and probably hi ↄba
787,erhiirhuu,tail frhii rhuB ekita dog s tail erhirhud esi tail of pig a tree Amphimas plero carpioides its durable wood is used for poles supporting the ceiling in native houses erhirhu owa sicl roof of house as seen from out side ere I εɽ f ↄce l gre and rd pers sgl as object and possessive pronoun it has besides the forms e ɽε ε ↄɽe ↄe ↄɽε ↄε
788,greɽe,flute
789,ere,to day εɽ na ↄre to day he came ribo the second senior chief in the Iwebo sOciety riyo a chief head of the
790,umodu,part of trap that part of a rope when used in a trap which entraps the victim
791,gro,watchfulness occurs in So ε and yi ew to watch to observe w title of a chief member of the Uzama cf isievieɽo
792,groro,a small four cornered bell it is found on several shrines of gods e Q on those of
793,dvia,and dxwahε but also on the ancestral shrine
794,groxi,chameleon There is a tradition that the chameleon was present when the farth was created therefore it walks care fully in order not to break it ↄmaε n εɽoxi lit the chameleon age describes that age when man can only walk a few paces without stopping for breath
795,εtu,female of ε huε antelope
796,gruvs,river tortoise same as
797,elukeluke,a small kind of squirrel with bulging eyes
798,gfiti,X world of the dead and the unborm Osa and the other gods reside there as well as the εhis and the dead people X a general term for an cestors the dead and even the gods masquerade dancer also owi εɽivi he is addressed as the god whom he represents and he carries an uxurhe he only speaks in sounds like mmm or gbrr curses uttered in his presence and confirmed by his knocking the uxurhε to the ground are believed to be effective v dvia εɽivi odo
799,dua,is a masquerade dance performed during the agwe dↄɣ εneε possibly for
800,osa,shrine of the Dba s father at the guae J B the Christian Heaven gr va x brass brass brace let v sa Ig εɽↄdo
801,gse,well properly ↄɽu e se J he did it well redupl
802,gsese,very well aɽu e sEse he is doing it very well cf TsesEvese se
803,gse,goodness favour oɽu B εse he did me a favour
804,gseese,also e plate Of Port origin
805,gsestveese,very much df
806,gse,horse cf Yor fi sigie name of an dba son of
807,dzdlua,and brother of Arhuaq a
808,gsd,suffering poverty sεs gb εe gbe gbe r heis very poor ↄῦ εS no he is a poor man cf s z v ovi
809,gte,shooting contest held with bows The target is an orange or a branch thrown to the ground or an agberhie
810,gte,sore of long duration
811,gtebↄ,heap of mud collected for building purposes place in forest where passage is barred by creepers
812,eti,strength power physical as well as magical ti fo o eh strength has finished me am tired gtu beard chin beard and moustachoe etu x cellulitis sore gums εtu xia ɽnuε ɽa are you suffering from sore gums xia to pain
813,gveεe,kola Cola acuminata verticilata Tv oha bush kola a wild kola Cola heiero Dhylla children suck the juice out of the husk εv oh ↄb ita kola of the ordeal doctor s bush a wild kola Cola caricifolta used in an ordeal and as a medicine for the bladder ε vee gabari Hausa kola the kola intro duced by the Hausa people Kola is given to guests as a sign of courtesy and friendship v
814,ikpe,palm oil εvi egbe fai lxrd viekoi name of a Bini village seat of an Jxwahε shrine
815,evirhi,a trap for animals cf Yor εbiti
816,gvo,X country village in cluding possibly several quar ters people εvo hia everybody language fol lowed by name of country gvu edo Bini language gv uhobo Sobo language gou igabari Hausa lan guage v urhu e d cti
817,eoε,word εd are ad monition given to disobedient boys εvῦ ta truth ov
818,gvata,truly ῦ ot whisper dsh v otↄ gbe hↄ he has a keen ear matter affair ε na ima ir this affair is not good mo matter of child child bearing According to A glε word has a long vowel in the stem while εdvε matter hasnot I tisnot certain whether this distinction is generally made by Bini speakers
819,ewae,a tree Polyalthin sua veolews used as firewood and for roofing houses
820,ewae,sib same as εgbεe Or uniε no longer used as much as sgbεe
821,ewe,goat sw aῦD D female goat e w ↄwa castrated goat
822,ewer,the daughter of one of the Ogi efas she was the wife of Ubi and a very kind woman Hence her name has become a symbol of goodness Thus there s a grecting ↄxi swer o god speed a lucky journey
823,ewe,a certain quantity of yams the yams stored between uhoho on eru wedo name of an dba
824,gwedos,prison
825,ewεe,chest part of body ɣεf ῦ evi v εwεe CE me
826,ei,don t strike a blow at my chest weka name of the first Oba of Benin it was taken up by the father of the present dba who reigned as wdka II wia smell εwia e ima N its smell is not good cf wia wo calabash funnel used e g by wine tappers when pouring wine into demijohns or narrow mouthed calabashes
827,gwobi,a man who likes to play jokes on other people gwobi ↄda uxi you are a joker
828,gwu,garment gown coat shirt any garment except trousers v utalawε wu fuε m ose gbe your gown is very nice swu ivie bead dress worn by the da the term does not include cap collar odigba and
829,udahae,name of an dba wuare name of an dba under whom some of the present Bini gods e xwahε and
830,ake,xr quiver a curved tooth or bone which in native opinion the viper flings at its prey out of the mouth It is believed never to miss its ob Jective and if the victim runs away t must return to the miper v osumade
831,exi,a small Climbing animal
832,exivi,a tree P uIprtadenia africana its fruit has the shape of a belt and is used by boys in play the bark is used as medicine for oviyabε
833,gxoxo,x corner as seen from inside ↄlere y ε oxo he hid in the cormer private when used as a genitive after another noun e g in isum
834,gxoxo,conspiracy
835,gxoxo,a big monkey
836,gxu,door gate xwi εxu na lock this door bi εxu na
837,gbe,close this door gxu ogbore sxu ↄgw o e gate in odi leading from street to compound
838,exil,a person who is infirm unable to walk cf ku exiix i a small fly sweat fly
839,gxwia,bull okpia
840,gyotↄ,foundation of house first layer of mud d ot
841,eze,stream river εfzε n awae abridged river a bridge redupl εzeze swampy watery εzezε eva na Xxi J this place is swampy v oke
842,ugboyxodo,tree stump when several feet out of the ground space round the base of a tree v ugzv udU un
843,geziza,a spirit in the shape of a man it roams about in the bush and catches people whom it may keep for years it is believed to be a great doctor and its hair et εzza a plant is used by doctors in every kind of medicine in order to ensure quick action cf Yor
844,aaja,gzdↄ case in court cf Yor
845,gjv,to cut loose in m to cut palm nuts and let them drop yaf di na go and cut these palm nuts to remove the thatch of a house in order to replace it by new leaves or to remove old leaves from the thatch fi owa na me remove the thatch of this house for me the a represents only a very short glide fa
846,fua,a to release to acquit in court ↄfa ε fua v ikotu or v ow iza h o N he re leased him out of court b to set free a slave f ma to loosen i e to take out yams from the stack eru ɣaf ma v eru na who took the yams out of this yam stack fe r m to escape to slip out ahiaῦe ni f ima that bird escaped us ↄvoxa na fe v iypha this boy is free from pawn i e from being pawned ofe obↄ de gb ot it slipped out of my hand and fell down f ↄrhi to escape life i e to faint to be cured from a disease okpia na fe nε v uhudu n ↄvae N this man has re covered from lit escaped the disease he had v lε fe to be rich cf fe fe
847,fe,w entirely completely used with the verb fo ↄfo
848,fecɽe,it is entirely finished but v fεfe fe for good finally isi kpaa va fεεɽε I left there for good
849,fefεfz,entirely completely altogether used with the verb
850,fo,it is completely finished ri ↄe fo
851,fefesfe,eat it all up the fo may be omitted v giε
852,feko,an aumiliary verb df
853,hεko,their work is getting slowly finished fεko gently softly softly m very sharp accom panies the verb mu v Le εLε ε to throw combinations with verbs fi d to miss to mistake ahoa n ik ɽ ε nwa ifi εe d lit the hawk I just aimed at I missed t v z ɽo fi fAl to throw something into fi ze fi
854,oha,he threw it into the bush fi gbe to throw something at ↄfi εze gbe he threw it at me fi gb ual gbe tua to shoot dead fi kui to throw
855,gbo,at a man fi xε to throw εbo on the road same as gbe xε Com binations with nouns fi agbha to summon a meeting in a saylng which occurs in a story but v also tie t iko fi axwee to play marbles fi egbe del egbe to transform oneself e g into an animal v xia fi ema to dig the biεF yam poles ikpssi into the ground for the εɣε J poles it is ba ema ba z f to throw expresses a more forcible action than ba to pierce fi eso weri egbe to turn some things round to revise Egh Hist fi exwae yↄ to wish something bad to a man holding an exwae in front of the mouth and spitting after the words to curse by means of a charm to implicate f ε ki refers to the movements during the coitus a formula of blessing iIs uwRufi εkid ihoi may your coitus move ments not be in vain used by a person senior to a woman met when sweeping the house or the dais of her husband s Erha as an act of purification when having cleansed herself after menstruation v axuε f iha to cast an oracle does not indicate which oracle is meant n ↄf iha for oracle doctor as glven by N W Th is said not to be as good as ↄb iha
856,sbo,to quote a proverb as answer to somebody s question he has to guess the meaning to drop a proverb v kp ita f ive to give somebody a hint by means of a proverb the person thus ad dressed needs further explna tion f ita f ive me he gave me a hint by means of a proverb f iyeke gbe to turn the back towards some thing e g gb odε to the road fi obs yi to put one shandintosomething fi oki to perform oki l vw gbe iLukuse to construct a rattle i e to throw the cord round the calabash to and fro when making the net covering the calabash fi unu to speak in an unseemly way of or to ones superior Egh Hist to beat also of the pulse obↄ rdwuε fi leilei rɽa x is your pulse lrt hand beating fi e i to hit somebody liyt to hit somebody something vi a blow refers e gQ to a blow in anger while gbe means to flog as a punishment ifi εɽ evi I hit him cf egbe n ↄsfi ↄ a e i D fioɣoɽo
857,ko,to hop on one foot to shoot v sa to attack of a disease edifi fi e small pox has struck him he has caught small pox it also denotes the direction of a throw only into some locality fi fi b to leave in fi yi ↄf f yi he left it fi ya to die of a man with family wu is used of a single man of a man who has a family it was said that part of his body is stil living also ikia lterat
858,filo,to drop things one by one b to shoot birds or animals one by one t ifil ifa I am shooting them one after the other c to be foolish t ufilo are you mad vu
859,kiza,q to cut fia fua to cut off fia gbe to cut and add to to bless of a Christian blessing bu tw n erhudu na na to say prayer for somebody to bless in the pagan way cdf
860,afiagbe,tocut food for somebody t uɽami mo fiana mayyouget a child or children to cut food for used as a formula of thanksgiving after a meal by a woman towards a senior woman or man also to her own parents v εrεze fia
861,ra,they are crossing the river cf gbe ra v gwa I b to break into a row of people called ikpokpa at an ugie or into a row single or double file of people at an
862,dvia,festival In the case of the Jvia the man was is whipped forit in the case of the ikpokpa he was formerly killed and is nowadays made to pay for a big sacrifice costing up to Ls
863,fia,ce a to bite ekita fia
864,geɽe,adoghas bitten me b idiom to cheat i afia ε ssese ave oε εre shall cheat him bite him eat properly just look at me and look at him i e you will see Combinations with nouns f idi to dig a grave fi enwε to be cut breast to be weaned fia igɣo to cut money to fine somebody v ze I afi ozo i o v ikotu n
865,owiε,Ojfo was fined in court this morning f iɣo to change money f izo na i me change this money for me v idbla f ihue to be cut at the nose to be de faced of a coin or cowrie fi odε yil ob to cut the road to somebody s hand to reach a certain place earlier than somebody else by using a shorter road to make a short cut fi osuɣEu yi egbe to trouble somebody by means of charms or intrigue fi ova to glve a nickname praise name w also ɽe sfi ova me he gave me a nickname fi ka to reap corn maize to become be cut or broken to come off of a button e g iri n itaf n iterat whkps ta yifia the rope I put up ta on yi which I was about to spread clothes has snapped bu is only used of wood and iron v also wu to kill a sacrificial victim to be salty wv tatadta s to smell sharp v taitai f age to hit a man ifia
866,emi,lit I hit him some thing i e a blow the is not nasalised f idQ cf fi a
867,fe,to make a clearing for a farm with matchets previous to felling the trees on the plot fi fie ni seεse make that clearing properly cf ifie v gb itε
868,fiexe,to sway to swing some thing ↄfieɣ uherhε xid v imi o ε he was swinglng the firebrand along when I saw him cf fi u cuesɣe to shake something that is on the ground fizhzmm blim imitates the cry of the rat oxa ix o cf fia
869,hba,very tall and thin of a tree only used with ta it is tall f itAa cf fi f ive cf fil yeke f fi
870,fo,to finish often followed by
871,nε,already fo also often follows another werb in order to express that the action expressed by that verb has been finished erha na fo nε this fre wood is finishing already orhi εɽe fo bx he has taken it finished he has taken it all cf ufodε D
872,fo,toperspire used with the sub ject afↄ perspiration ↄfↄ f e I am streaming with per spiration cf ↄfↄ f
873,fo,to splash a liquid med cine on plants in order to make them yideld plentifully This liquid called εbo n ayafↄ inya J i e medicne to be splashed on yam is obtained from the tree osuↄbs c
874,afↄ,which is also splashed on the body or the house for the purpose of purification f ↄrhi cf fe
875,fu,in fu re to become be cool fu egbe to be peacetul comfortable for some body eva na or aga na this chair fu egbe this place is comfortable i e peaceful without worry for me fu ε ko only in the pt fu ko to be of peace ful disposition fi kugbe tomix ↄfɽi ofighↄ v igaɽi ku gbe he mixed palm oil with gari fu in fu re to cool ↄfu ame na re he cooled this water fu to snatch to grab ibicka ni wafu εvεe n ↄr eva vio vou children there snatch the kolas there and take them fu ε ε to stammer or more exactly to begin one word before finishing the other vw b εde fua second part of verbal combinations implying that the object is thrown away but for liquids and grains kua v mu fia fa fua to be white ↄfua v ak n unu it i white like the teeth of the mouth cf
876,fuonfua,x to perish a curse
877,uɽafva,may you perish answer iwua en ↄfua o I am forbidden what is perish ed o something like God has not destined me to perish to die out εgbε ifa fua xia Lpit their family sib are perishing along i e dying out This would be a bad curse if uttered to a member of the clan cf fua fugfuε fuε smothering of a fire that only smokes a little a smaller fire than that described by ɽuecuεɽcuε used with the verb ba
878,fusfua,to be white ukp s n ozo rhuaε fuↄfua the cloth Ojo wears is white c fua ga to serve ↄga e he served him ga yi to serve for a betrothed girl with her father ↄga y ↄvox wvi he served for the girl cf ugae C e a ga to cook to be done of food that is being cooked inya na fεdko ga this yam is cooking gradually v bie
879,ga,to surround v l to fence i e to set a fence as part of a trap across the bush cf ega or to put a fence around something e g a tree or the hole of an animal ga ezi oi na n idoxm ifi y ↄ Lt fence the base of this tree that I may come and set traps there wv gba I
880,gadagbaa,big nmot fat of animals e g horses elephants bulls hippopotami or cro codiles used with the wverb
881,ye,to surround shε iɽa gag egbe he surrounded himself with them also ↄv ifa cf a
882,gaigai,describes a manner of walking a measured walk with wide steps white man style used with the verb xia the i is not short
883,ge,same as de
884,gegeege,very high of a hill okenayo gegeege thishill is very high cf gogoogo v
885,golotoo,and geletee
886,gele,an auxiliary verb em phasizing the main verb may be translated by indeed or similar words ↄgeleɽu e in fact he is doing it ↄgeleɽru e really he did it geleta e
887,ɣe,extraordinarily high used with the verb yo df
888,golotoo,tightly shut
889,geuetrewry,imitation of the sound of a bell egogo but v ko dkoↄwd v also goylo gi g u to allow to do something to let ↄg ifa ɽu εe he allowed them to do it he let them do it In the st and nd pers sgl g gu are used instead of gi igu ε ɽ U e I am allowing you to do it b I am helping you to do it I am doing it with you pf ↄg W ε Cu εe a he allowed me to do it b he helped me to do it vw gu gi a is used in the Ist pers pl meaning let us gi aɣaxia let s go to permit of something being done equivalent to English suffix able εgi ari ↄe it is not edible gi to leak of a canoe or house oks dε gi my canoe is leaking cf ugivE
890,gia,to cut with many objects e a bundle of things or a cord contalning many strings etc dgia iri na he is cutting these ropes cf giagia giaɣa
891,wiogin,to cut into many pieces giagi ab erha na or bel ab lop the branches of this tree off df
892,gia,bright red used with the verb ba r w resz εɣ a l
893,giaxa,fo cut or tear into little pieces ↄgiaɣa e ku erba ku iri he tore it up into little pieces and threw it about e g of an infant tearing paper cf gia gi asi of gie gidigidi r big of yams used with the verb ye l
894,gidigidi,blazing sending flames up used with the verb ba kpoo woo
895,gidighi,strong robust a riddle okpia gidighi mu okpia gidighi gba a strong man catches a strong man and tiecs him the answer is olodo mu εBu gba the door frame keeps the door tied cf gidigbii
896,gidighii,very big e g of trees houses boxes rocks of an elephant used with the verb
897,i,to send gie uhu u to send on an errand gi gr uhudu gi erha e he sent him on an errand to his father also used as second verb of a combination in order to indicate a direction towards something or somebody v above toattack of diseases the object being the particular spot that is affected possibly this item does not belong to
898,gie,to compare ɣEya e gie
899,bε,don t take him compare with me don t compare him with me gie
900,ma,to show something that cannot be taken in one s hand or that is at a distance to some body ↄgi ugb εLe maveε he showed me his farm ma is long gi odε da ma to show a bad way to lead astray also in a metaphorical sense agi ode di ma ῦe v inↄ
901,ibude,he led me astray when I had asked his advice v bibi ya dido J gu dido gie to spit in gi asE gi exwae y to spit on a charm after pronouncing a prophecy or curse in order to confirm the words spoken w
902,drwahε,songs gie always seems to imply deliberate spitting tu asε
903,giε,to laugh agiε y εvUR Ue he vll he s laughing at my words ↄagb oxoo giε he is bursting with laughter of ogic I
904,gi,to give way to break suddenly of a worn out cloth
905,giε,to burn owa giεɽε fefεεfε the house burnt or is burnt to the ground cf agiε
906,giegie,to be quick at some thing ↄgiεgie nwina he is working quickly cf εgiεgiε I
907,giεɽε,very bright of weather ede raɽB giεɽε the day was very bright
908,gilogilb,tall and thin of men only wv sigosigo which seems to indicate a greater de gree of thinness used with ↄtaε L O he is tall nwsεεɽ
909,gina,x to be against εo E na gina ε this matter is against him he is guilty in this matter used as second part in the combination rhia
910,gina,in agbↄ rhia gina ε lfe is spoilt for him meaning he is impotent or he is destitute in case of a woman she is barren or she has a venereal disease c
911,agbeginoto,very hot of boiling water used with the verb t v iciyvici giri gri describes a sudden or unexpected motion ↄ gwa kpao
912,giri,he got up suddenly v ha
913,gizaka,describes the falling
914,down,it fell in the above stated way
915,go,to shout go nwa to praise somebody in songs for some accomplishment Egh Hist ↄ go nwa ῦε he praised me v rho tia
916,gobagobagoba,describes a manner of walking the walk of a cripple whose feet are bent to one side so that he walks with a list the foot that is behind moving sideways Used with the verb xia l
917,gogoogo,high e c a hill used with the verb ye goyogo ɣo describes the sound made by a bell Rogo J but v kaxakoy q v gE RY rɣRyY
918,gokada,very tall and lean of man used with the verb ye but also with tota to de scribe a tall man sitting upright cf gukaa v rhig
919,golotoo,very high used with the verb yo c f geletee
920,gootro,loud describesthe noise made by a cricket used with the verb tu to become be bent crooked ↄgↄe it is crooked of bi g g in g u gie to hold the annual festival of a juju not used for ancestor festivals d εɣε n uwa yagl gi ↄxwahε yi
921,ko,when do you hold the festival of dxwahε friend cf ugjgie go g gↄ g upright uɽu ihue g g ↄ g d your nose stands upright special charac teristic of the European hence the above sentence may be closed with ov ihu ebo like the nose of a white man This feature is considered as funny On the other hand an ihue pεrhε flat nose said to be v ihu eZwi like the nose of a tortoise is not thought to be beautiful either
922,galogolb,describes the walk of a wvery tall man with the upper part of his body swaying used with the verb xia c
923,ogdↄld,a verb indicating q that another action is performed by the subject with the help of somebody else or that the action is reciprocal e Q gu b owa to help somebody in building a house gu
924,de,to buy something from somebody ws igu dε I bought it from you gu
925,dia,to stay with somebody or something esp in order to guard it e g of a hunter s boy who watches the kill while his master is in the bush gu
926,dido,i d to lead astray by giving false in formation v gie r yarI
927,gu,gua to talk with somebody gu gwi to quarrel with somebody gu
928,gbina,to fight with some body gu ho to help somebody to find something In an Impersonal use gu means to succeed ↄgu eE ɽu h helped me to do it succeed in doing it idiom BD egbe gu εe u body helped her to do or body did i t with ber she had a miscarriage gu becomes gu hl front of the objective Bε me and da us gu z cf i gua I also guara used by old people to know how to do a thing used with verbs only igua xa ɽe Idon t know how to say it gua LY to adulterate sgu anyↄ na he has adulterated this palm wine sgua oɽoka na he has adulterated the metal of this ring in both cases gua may
929,be,gue to cover with a lid g uwawa na n ikia weεti y L N cover this pot in order that the flies may not get into it to be covered uwa wa na gueɽe this pot is covered
930,guεεɽ,very small lame as
931,eyescryexε,e g in ↄ ɣede ne gieɽ banana
932,gaka,describes a certain way of sitting down used with tota used e g of a wvulture perching on a tree ↄti y uhu erha ghiki it has flown and perched on a tree In the case of a man sitting down it describes a huge big man sit ting down as if collapsing y gika very lean but not im plying tallness e g people who are lean on account of a disease stresses the leanness less than
933,kagukagfi,intensifies an impres sion of flexibility used with the verb voxo of the tail feather of a cock e g or the creeper ika J or the shrub unwerhi ta
934,gulugulu,deep of narrow holes such as uy egwi I wells or deep places in a river used with the verb ye g unu to keep quiet g un uε something like shutup a milder expression is gi ah εvE lit let hear word cf
935,gue,nwa
936,guozaa,describes the noise of falling trees when a farm is being made
937,guoↄve,ɽ to brush with some thing soft an Spovs or a brush or leaves to dust by shaking v baῦ J idiom giↄn eghe to shake body to turn brusquely round when addressed ↄgul ῦ egbe kpaↄ v igu εe gua he turned round brusquely when I was talking to him to wag the tail of a dog themanwhom the dogs greet in this way is object of the verb gwa to pull of a canoe also gw okd gwa gbera εzε to pull somebody across a river gwa y l lit t pull in it to join in puiling gwa y o Ny join in pulling to men sitting in the canoe without helping gw εze to cross a river by canoe gw ame given by N W Th with the same meaning was sald not to be used by A cf Yor wal gwa to dig gw εhe to make a yam heap or a heap for planting coco yam or gari cf Yor wa gwa to fit to be suitable of rooms gwWa ↄ it fits suits me in space we w eva agwa e
938,yi,do you think it say that room there will fit him i e that there will be enough room for him idiom Ogbe gw ihjwa Ogbe a quarter of Benin City does not fit Ih wa a name it is in tolerable e g in n uye na Ogbe vegw ih wa ɽm t what you are in now Ogbe will not fit Ih wa any more ve J to day the temper in which you are to day is be coming intolerable sc and I can no longer put up with it e g to a nagging wife gwa in gwa ehiε to scratch with nails or birds with their claws oxuo na gwa ehiε this woman scratched me v nyi gwa in gwa kpaↄ to get up gwal L to search ↄgwal en we he searched for the goat
939,gwalb,kua to dig some Rtrg out of a heap of similar things e g gwal isawswε kua he or it e g a fowl is searching digging out ground nuts cf gwa
940,gwe,to be with to be pos sessed by SEAL inya iro n igzaɽe ɽ J I have no yam to eat e day answer ↄswe def it is with me have some cf gu
941,gwe,q to know to be ac customed to something ↄgw ebe ghe much he is very clever to be a favourite of a wife or a servant ↄgwe Be ghe she is a great favourite with me but ↄgw εve gbe he knows how to talk well also gw obo gu obↄ to be intimately acquainted with igu obↄ ɽe I am vwvery well ac quainted with him ↄgu obↄ he is my special friend agu ob ↄdↄ ɽe she is the special friend of her hus band she is her husband s favourite wife cf gu gua L
942,gwe,to sacrifice to one s head during the igwe festival otherwise Eu uhudu is used At igwe a spedcial amen formula is used gua
943,sonyεε,otherwise isε gw ehe cf gwa gw ze cf gwa
944,gwezegwezg,entirely Egh Hist arhia mu ot gwε zEgwezε it is entirely spoilt gwi x to quarrel to be angry with somebody magbagwi we quarrelled with one another bgll Tε gwi he was angry with me i e a master with his servant to state one s case in court to litigate hence n ↄgwi litigant used in con c he knows book he is grumbling indistinctly also ↄgwi hahihd to drone of beetles mly gw obs cf gwe gw oka df Lmay L
945,gwa,to tremble to shiver agwo e he shivered v SOgWISIZWd b gwↄx ws qɽ to get or be broken of glass earthenware etc ugegbe na gwoyↄe this mirror is broken but can still be used w wu which means that it is now completely use less to break something gwdɣ uy egbe he broke the mirror
946,gyafaɽafafafa,loud de scribes the crying of an infant
